Energy(eV) Total(1/s) Acoustic(1/s) IV_g_ems(1/s) IV_g_abs(1/s) IV_f_ems(1/s) IV_f_abs(1/s) II(1/s)
0.214 2.4128e+13 7.63943e+12 1.0356e+13 1.81855e+12 3.54417e+12 7.69856e+11 0
0.215 2.42605e+13 7.66663e+12 1.04346e+13 1.8241e+12 3.56337e+12 7.71895e+11 0
0.216 2.43884e+13 7.69496e+12 1.05068e+13 1.82989e+12 3.58288e+12 7.73932e+11 0
0.217 2.45104e+13 7.72386e+12 1.05721e+13 1.83587e+12 3.60263e+12 7.75986e+11 0
0.218 2.46325e+13 7.7531e+12 1.06361e+13 1.842e+12 3.62321e+12 7.78102e+11 0
0.219 2.4746e+13 7.78141e+12 1.06931e+13 1.84823e+12 3.6429e+12 7.80335e+11 0
0.22 2.48563e+13 7.80975e+12 1.07495e+13 1.85353e+12 3.66083e+12 7.82714e+11 0
0.221 2.49702e+13 7.83738e+12 1.08096e+13 1.85975e+12 3.67829e+12 7.8519e+11 0
0.222 2.50746e+13 7.86227e+12 1.08626e+13 1.86568e+12 3.69636e+12 7.87689e+11 0
0.223 2.51631e+13 7.88377e+12 1.09039e+13 1.87114e+12 3.71423e+12 7.90051e+11 0
0.224 2.52394e+13 7.90348e+12 1.09426e+13 1.8755e+12 3.72527e+12 7.92563e+11 0
0.225 2.53234e+13 7.92343e+12 1.09888e+13 1.87874e+12 3.73744e+12 7.94999e+11 0
0.226 2.54142e+13 7.9434e+12 1.10385e+13 1.88152e+12 3.7535e+12 7.97334e+11 0
0.227 2.55088e+13 7.96459e+12 1.10896e+13 1.88397e+12 3.77108e+12 7.99495e+11 0
0.228 2.56072e+13 7.9894e+12 1.11415e+13 1.88611e+12 3.78862e+12 8.01495e+11 0
0.229 2.57028e+13 8.0155e+12 1.11889e+13 1.88809e+12 3.80688e+12 8.03475e+11 0
0.23 2.58101e+13 8.04144e+12 1.1246e+13 1.89112e+12 3.82614e+12 8.05459e+11 0
0.231 2.59241e+13 8.06676e+12 1.1308e+13 1.89556e+12 3.84634e+12 8.07409e+11 0
0.232 2.60403e+13 8.09143e+12 1.13722e+13 1.90038e+12 3.86701e+12 8.09332e+11 0
0.233 2.61578e+13 8.11526e+12 1.14381e+13 1.90533e+12 3.88759e+12 8.11495e+11 0
0.234 2.62745e+13 8.13895e+12 1.1504e+13 1.91035e+12 3.90731e+12 8.1381e+11 0
0.235 2.63892e+13 8.16239e+12 1.15688e+13 1.91542e+12 3.92642e+12 8.16141e+11 0
0.236 2.64944e+13 8.18519e+12 1.16326e+13 1.92059e+12 3.93739e+12 8.18658e+11 0
0.237 2.66016e+13 8.20775e+12 1.16924e+13 1.9258e+12 3.95463e+12 8.21036e+11 0
0.238 2.67061e+13 8.23036e+12 1.17485e+13 1.93102e+12 3.97304e+12 8.2317e+11 0
0.239 2.67532e+13 8.25339e+12 1.17479e+13 1.93633e+12 3.99056e+12 8.24969e+11 0
0.24 2.68439e+13 8.27709e+12 1.17907e+13 1.9419e+12 4.00773e+12 8.26494e+11 0
0.241 2.69469e+13 8.30141e+12 1.18441e+13 1.94766e+12 4.02583e+12 8.27894e+11 0
0.242 2.70464e+13 8.32588e+12 1.18929e+13 1.95362e+12 4.04483e+12 8.29215e+11 0
0.243 2.71443e+13 8.35004e+12 1.19392e+13 1.9596e+12 4.06498e+12 8.30475e+11 0
0.244 2.72473e+13 8.37345e+12 1.19906e+13 1.96593e+12 4.08548e+12 8.3185e+11 0
0.245 2.73522e+13 8.39606e+12 1.20461e+13 1.97224e+12 4.10408e+12 8.33649e+11 0
0.246 2.74616e+13 8.41942e+12 1.21078e+13 1.97741e+12 4.12117e+12 8.35816e+11 0
0.247 2.75731e+13 8.44311e+12 1.21712e+13 1.98223e+12 4.13836e+12 8.38183e+11 0
0.248 2.76834e+13 8.46719e+12 1.22328e+13 1.98703e+12 4.15581e+12 8.40623e+11 0
0.249 2.77925e+13 8.49173e+12 1.22927e+13 1.99173e+12 4.17339e+12 8.4291e+11 0
0.25 2.78988e+13 8.51379e+12 1.23524e+13 1.99628e+12 4.19123e+12 8.4515e+11 0
0.251 2.80016e+13 8.53223e+12 1.24117e+13 2.00064e+12 4.20965e+12 8.47402e+11 0
